miRNA_ID,Tumor_Mean,Tumor_Std,Normal_Mean,Normal_Std,p_value,log2FC,Category,hsa-miR-XXX
MIMAT0000617,2.1343910550458713,2.4037220004393944,0.06907999999999999,2.7039157825627482,3.432810606497662e-11,4.949412632409214,blue,hsa-miR-200c-3p
MIMAT0001341,2.1646020642201833,2.569773713365863,0.11481,2.8093947502131584,1.910224256012191e-10,4.2367816154270805,blue,hsa-miR-424-5p
MIMAT0000460,1.9382201834862385,2.3170670372806037,0.058810000000000084,2.5845149387430237,2.0676621170541494e-10,5.042527170739899,blue,hsa-miR-194-5p
MIMAT0004502,2.22959747706422,2.6338006356633605,0.08537000000000013,2.9756378779866828,2.77163391190177e-10,4.706910285554306,blue,hsa-miR-28-3p
MIMAT0002809,2.124558486238532,2.5164068165501914,0.0542700000000001,2.935104137863086,5.431526081232231e-10,5.290864340746965,blue,hsa-miR-146b-5p
MIMAT0016892,1.848761467889908,2.3060736320224473,0.07604999999999999,2.54717838494823,9.34565304468755e-10,4.603467038231966,blue,hsa-miR-4266
MIMAT0002178,1.8572855504587156,2.3698868318444326,0.06447999999999995,2.5844755225903544,1.0656783801028163e-09,4.848200087008938,blue,hsa-miR-487a-3p
MIMAT0004497,1.8394128440366972,2.360364537554492,0.07330000000000003,2.6015133804550894,2.0946767316421592e-09,4.649288310860572,blue,hsa-miR-24-2-5p
MIMAT0018934,2.1008520642201836,2.4429672853303543,0.11798000000000003,2.9974634730590517,3.941555385833997e-09,4.154360355884208,blue,hsa-miR-4421
MIMAT0031007,1.566565366972477,2.166775901525796,0.013270000000000018,2.337048249891994,4.2329174092752e-09,6.88329278835395,blue,hsa-miR-8080
MIMAT0000095,1.7099759174311926,2.35965296503067,0.03974000000000001,2.6300410705400155,1.5485555507906506e-08,5.427240324142029,blue,hsa-miR-96-5p
MIMAT0000680,1.876684633027523,2.3671977640336728,0.043540000000000044,3.0337142598644733,5.035774370442609e-08,5.4297010154789405,blue,hsa-miR-106b-5p
MIMAT0022274,1.4699575688073394,2.139489367769594,0.025310000000000034,2.4997964308836393,1.8210106392070077e-07,5.859923193745092,blue,hsa-miR-5580-3p
MIMAT0004985,1.826037844036697,2.5127503111144804,0.07518999999999998,3.0664232699687854,2.314817214769659e-07,4.602032053388104,blue,hsa-miR-942-5p
MIMAT0016862,1.137066513761468,2.0999653220421997,0.06781000000000005,2.1445415308817797,6.036099762317582e-06,4.0676747937091005,blue,hsa-miR-4310
MIMAT0003259,1.2914633027522935,2.027482698519626,0.024880000000000034,2.604124941842705,7.29064002439297e-06,5.697876353809765,blue,hsa-miR-591
MIMAT0002837,1.2655366972477065,2.1352474462029667,0.03061999999999997,2.633463060786168,1.5042209156720827e-05,5.369131249367582,blue,hsa-miR-519b-3p 
MIMAT0027609,1.225026376146789,2.205205435573014,0.011460000000000027,2.583576561061949,1.5437500039999748e-05,6.74006195803143,blue,hsa-miR-6854-3p
MIMAT0004946,1.042494266055046,1.940662815971466,0.020240000000000015,2.206820474910646,2.0508774987281825e-05,5.6866863482981,blue,hsa-miR-744-3p
MIMAT0025451,1.1811594036697248,2.0247736336016002,0.032889999999999996,2.5886387550099363,3.80835985154433e-05,5.166410858754112,blue,hsa-miR-6499-3p
MIMAT0028222,1.0366926605504587,2.135777660577648,0.022669999999999985,2.6491608850823885,0.00034200798441105654,5.51506005271379,blue,hsa-miR-7156-5p
