miRNA_ID,Tumor_Mean,Tumor_Std,Normal_Mean,Normal_Std,p_value,log2FC,Category
MIMAT0004489,2.3126456422018347,2.4360676513975035,0.39774,2.6594816864960884,3.036794084088454e-10,2.539646660484983,red
MIMAT0001621,2.012047018348624,2.3893157836449808,0.15594,2.5826700529537727,3.3037265404783183e-10,3.6896010742764616,red
MIMAT0000714,2.1489266055045873,2.501752386816093,0.17273999999999998,2.761773100562372,3.6836564402502395e-10,3.63694210991524,red
MIMAT0026721,2.179947247706422,2.2378535090278855,0.41898,2.4856335939217433,5.108444181972569e-10,2.379339940144091,red
MIMAT0027639,2.3260894495412843,2.473161508076671,0.43113999999999997,2.673692320867654,5.308468425237698e-10,2.4316782534019565,red
MIMAT0003316,2.6579311926605502,2.7469050551796865,0.6203599999999999,2.894980555123894,7.056950265746241e-10,2.0991261858510377,red
MIMAT0003273,1.8482912844036699,2.192242083457989,0.19147999999999998,2.412114096334867,1.4444038875724719e-09,3.270926522207572,red
MIMAT0000264,2.180403669724771,2.4351380862942085,0.33423,2.708769648229934,1.8170280356267052e-09,2.705682114995419,red
MIMAT0018075,2.0230344036697248,2.335132875055551,0.2843399999999999,2.5483526040058577,1.8195140954087898e-09,2.8308318826216934,red
MIMAT0019206,2.1470745412844034,2.2979787859664427,0.48612999999999995,2.4491764134380793,2.309418701833443e-09,2.1429582055609226,red
MIMAT0027644,2.2367993119266054,2.2957327718351825,0.5433699999999999,2.5354282552410643,3.4807002619740443e-09,2.0414290017929457,red
MIMAT0003244,1.871204128440367,2.413623872331749,0.1398100000000001,2.616648286733364,4.8065181901176285e-09,3.742427490621193,red
MIMAT0002841,2.0076284403669726,2.398969213585729,0.19143999999999994,2.853868267329928,1.3110875558955023e-08,3.3905280816884518,red
MIMAT0004902,1.897788990825688,2.283296354495056,0.35720999999999997,2.404566343208041,1.3307570887752539e-08,2.409475218557804,red
MIMAT0019059,2.002279816513761,2.4217448757213065,0.12624000000000005,2.967071739863219,1.5136336590109354e-08,3.987402587811958,red
MIMAT0017392,1.7627981651376146,2.3308175350547673,0.14126000000000002,2.54877730092234,1.520671147743274e-08,3.64144239332836,red
MIMAT0003310,1.894184633027523,2.443324140521139,0.2152999999999999,2.679627026285561,2.3425879980008986e-08,3.13715673774648,red
MIMAT0019967,1.9570711009174309,2.418467537099538,0.29374999999999996,2.7091446686839347,3.971327087219633e-08,2.736035413623923,red
MIMAT0021085,1.7363279816513761,2.3625832692235864,0.14012999999999998,2.6101923984002924,4.532730689509288e-08,3.631201733638507,red
MIMAT0000255,1.870420871559633,2.3196630531822224,0.3742799999999999,2.4463092798183252,4.911220338753056e-08,2.3211730700873847,red
MIMAT0019726,2.14372247706422,2.5764730890232324,0.43082999999999994,2.841957061692708,6.720237025342229e-08,2.3149275311308624,red
MIMAT0004554,1.5864151376146787,2.2430953543952405,0.12212999999999997,2.5034842655342935,1.4410927260378853e-07,3.6992808165544853,red
MIMAT0003315,1.9401605504587156,2.448162086119202,0.31671000000000005,2.894763060714429,3.737784923805324e-07,2.614941716227706,red
MIMAT0027368,1.8201020642201833,2.414455136723762,0.28953,2.7574908864744954,5.019685607883216e-07,2.6522346057413912,red
MIMAT0027357,1.6709896788990826,2.2102379315392837,0.39666999999999997,2.2851626605013253,5.282885141086562e-07,2.0746916261705284,red
MIMAT0026555,1.6793142201834863,2.4181863567386523,0.18732999999999989,2.8803512203594654,2.2229831575031646e-06,3.1642183375016932,red
MIMAT0019729,1.4972935779816512,2.2650156374599373,0.18917,2.574294419581193,3.5231469017496597e-06,2.984601903335746,red
MIMAT0021125,1.9442454128440367,2.443431338168057,0.46187000000000006,2.9314371924420146,3.6328397445404633e-06,2.0736515884870728,red
MIMAT0004518,1.6506949541284404,2.392344460848924,0.25519,2.789194470060878,4.667025160809659e-06,2.6934298359023767,red
MIMAT0002854,1.6165596330275227,2.170128944541004,0.33463999999999994,2.5870241143214745,5.502920676684919e-06,2.2722449196008796,red
MIMAT0002814,1.439255733944954,2.119181466326825,0.25999,2.3741671521958296,5.6779426222032575e-06,2.468794920884478,red
MIMAT0004981,1.583665137614679,2.351831531974135,0.34768,2.4793864949852322,5.765423773419975e-06,2.187435328340517,red
MIMAT0019058,1.3771788990825689,2.171397925999057,0.12514999999999998,2.5436610272827567,6.409029694130512e-06,3.459985785305524,red
MIMAT0028212,1.1610366972477064,1.9941080862133247,0.07521000000000003,2.296415543710227,1.3971088114714663e-05,3.9483452655163576,red
MIMAT0019012,1.2156811926605506,2.0259532335285915,0.12659999999999996,2.416110293321675,3.11566570268852e-05,3.263415627725584,red
MIMAT0019942,1.2049357798165137,2.1542777166307068,0.10594000000000003,2.4314687493759646,3.163870748480006e-05,3.5076369374625367,red
MIMAT0025471,1.090612385321101,2.067810700192997,0.08512000000000004,2.2601557123438205,4.284898208968852e-05,3.679496483275731,red
MIMAT0027606,1.5020412844036697,2.2524688275732396,0.32616,2.658180857107151,4.3108206925859966e-05,2.2032726995860035,red
MIMAT0027523,1.2630986238532111,2.141200840563702,0.18335000000000004,2.4371756852363085,4.3742927659638154e-05,2.7842951192609213,red
MIMAT0004918,1.4200229357798164,2.218234041133043,0.30879,2.5306713058958983,5.043909222037361e-05,2.2012162943277698,red
MIMAT0000726,1.2328635321100916,2.18851840660021,0.25497,2.238854146205107,6.275226900030844e-05,2.2736137006765396,red
MIMAT0007886,1.203558486238532,2.105723394962699,0.12098999999999993,2.5559342180838143,8.350773186130798e-05,3.3143465337687306,red
MIMAT0000703,1.3943807339449539,2.231585893483778,0.26798999999999995,2.6600415296180864,8.528987915184062e-05,2.379373468216885,red
MIMAT0019747,1.34576376146789,2.2460197148537895,0.26709,2.8586744582909134,0.0004028892452181181,2.3330273113153335,red
MIMAT0018927,0.9677534403669725,1.9626196954261126,0.08155,2.3409169850313107,0.0004067031682891863,3.5688827492629818,red
MIMAT0018113,1.2097477064220183,2.007394114916385,0.28123000000000004,2.4809197009833412,0.0004565044287745098,2.104883797844055,red
MIMAT0022708,1.0679880025825688,2.047985015046487,0.15319095818000003,2.502556247805883,0.0006143256563499128,2.8014923879506726,red
MIMAT0028232,1.2338199541284405,2.140559909566674,0.28101000000000004,2.631817801310138,0.0006858310482337988,2.134438507654353,red
MIMAT0003161,0.9135756880733945,1.9151780344303229,0.17364000000000002,2.338253567917472,0.0028480298893094847,2.395424930743991,red
MIMAT0030417,0.9311192660550459,1.9929030597940072,0.12459999999999997,2.5967462002057164,0.003263147165282165,2.90166190449832,red
MIMAT0019704,0.9669690366972478,1.980931879005008,0.10328,2.7953170004364973,0.0032908634128931825,3.2269087881651393,red
MIMAT0022714,0.8974885321100917,1.9213496631266596,0.18596000000000001,2.350353744791742,0.004245465765599473,2.270901173678039,red
MIMAT0027417,0.9034747706422018,1.9935237146170288,0.16359,2.470533030838618,0.004625868281880807,2.46539975338209,red
MIMAT0019202,0.8369816513761468,1.890690506082165,0.20770000000000002,2.488148902215452,0.01585516156083023,2.010694779641091,red
MIMAT0022719,0.8069575688073394,1.8646918563687298,0.19586000000000006,2.4687082133837293,0.01812539938776827,2.042670026481196,red
